Party Total Con Lab LibDem Remain Leave Male Female 18-24 25-49 50-64 65+ ABC1 C2DE London RestofSouth MidlandsAndWales North Scotland
Con 7 16 1 3 8 7 6 8 8 7 7 8 8 7 7 8 8 6 7
Lab 13 1 31 1 18 6 12 13 17 18 10 6 11 15 20 8 15 15 7
LibDem 19 8 24 69 35 2 19 18 22 21 15 18 23 13 24 22 14 17 12
SNP 3 0 1 1 6 2 4 3 3 4 4 2 3 4 0 0 0 0 40
PlaidCymru 1 0 1 0 1 1 1 1 0 1 1 1 1 1 0 0 4 0 0
Green 12 3 20 14 20 3 10 15 27 15 10 5 14 9 14 14 9 13 9
UKIP 3 3 1 2 1 5 3 3 1 3 3 2 2 4 3 2 3 4 2
BrexitParty 37 65 13 6 4 72 40 34 15 24 44 54 32 44 26 40 42 39 23
ChangeUK 4 3 5 3 6 2 4 4 2 5 3 2 4 3 4 4 4 4 1
Other 2 2 3 0 2 1 2 2 4 1 3 2 2 2 3 2 2 2 0
